team,flag_URL,acronysm,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022
Slovakia,https://countryflagsapi.com/png/Slovakia,UEFA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Slovenia,https://countryflagsapi.com/png/Slovenia,UEFA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0,0.0,0.0
South Africa,https://countryflagsapi.com/png/South Africa,COSAFA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,27.0,0.0,0.0,0.0
Spain,https://countryflagsapi.com/png/Spain,UEFA ,0.0,7.0,0.0,29.0,0.0,0.0,34.0,43.0,0.0,0.0,47.0,56.0,71.0,81.0,97.0,109.0,124.0,137.0,147.0,158.0,171.0,183.0
Sweden,https://countryflagsapi.com/png/Sweden,UEFA ,0.0,8.0,28.0,54.0,0.0,73.0,0.0,0.0,77.0,90.0,94.0,0.0,0.0,103.0,126.0,0.0,136.0,143.0,0.0,0.0,153.0,0.0
Switzerland,https://countryflagsapi.com/png/Switzerland,UEFA ,0.0,10.0,20.0,30.0,52.0,0.0,62.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,88.0,90.0,104.0,114.0,128.0
Togo,https://countryflagsapi.com/png/Togo,WAFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,https://countryflagsapi.com/png/Trinidad and Tobago,CFU ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Tunisia,https://countryflagsapi.com/png/Tunisia,UNAF ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,16.0,25.0,0.0,0.0,38.0,40.0
Turkey,https://countryflagsapi.com/png/Turkey,UEFA ,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Ukraine,https://countryflagsapi.com/png/Ukraine,UEFA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
United Arab Emirates,https://countryflagsapi.com/png/United Arab Emirates,UAE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,https://countryflagsapi.com/png/United States,NAFU ,13.0,21.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,50.0,56.0,70.0,78.0,88.0,99.0,0.0,106.0
Uruguay,https://countryflagsapi.com/png/Uruguay,CONMEBOL,18.0,0.0,0.0,38.0,63.0,0.0,73.0,80.0,89.0,96.0,0.0,0.0,106.0,113.0,0.0,0.0,122.0,0.0,141.0,151.0,161.0,165.0
Wales,https://countryflagsapi.com/png/Wales,UEFA ,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
